e, e_dot, e_int, stamp, 
-0.6440852545738439, -0.005449013540806239, -0.04377260142922557, builtin_interfaces.msg.Time(sec=16, nanosec=151000000), 
-0.6451981131110355, -0.016359237023851083, -0.0438104243420416, builtin_interfaces.msg.Time(sec=16, nanosec=185000000), 
-0.6468724034350135, -0.02732498883499605, -0.043886197478717574, builtin_interfaces.msg.Time(sec=16, nanosec=219000000), 
-0.6491171637717167, -0.03842206530079619, -0.044000254087202685, builtin_interfaces.msg.Time(sec=16, nanosec=253000000), 
-0.6519422511804844, -0.04970438966147964, -0.044153121216776864, builtin_interfaces.msg.Time(sec=16, nanosec=287000000), 
-0.652216823392667, -0.03038881981323792, -0.04427426140248368, builtin_interfaces.msg.Time(sec=16, nanosec=321000000), 
-0.6435395016017942, 0.08237989783029655, -0.04414783439329877, builtin_interfaces.msg.Time(sec=16, nanosec=355000000), 
-0.6271989358358678, 0.24527340741959924, -0.043586985912154125, builtin_interfaces.msg.Time(sec=16, nanosec=389000000), 
-0.6112713134009129, 0.3163547862831499, -0.04265888768567437, builtin_interfaces.msg.Time(sec=16, nanosec=423000000), 
-0.5993610897337692, 0.27292005982449613, -0.041657510349999136, builtin_interfaces.msg.Time(sec=16, nanosec=457000000), 
-0.5868887389205273, 0.23904484784691774, -0.040743812553251414, builtin_interfaces.msg.Time(sec=16, nanosec=491000000), 
-0.5729753259187207, 0.25868395897106405, -0.03987577017032173, builtin_interfaces.msg.Time(sec=16, nanosec=525000000), 
-0.5602459153944552, 0.2612041522163927, -0.03898915955196394, builtin_interfaces.msg.Time(sec=16, nanosec=559000000), 
-0.5485575316423077, 0.23939013996483327, -0.03812031885365763, builtin_interfaces.msg.Time(sec=16, nanosec=593000000), 
-0.5365349827150498, 0.23246012430789587, -0.03729433774104109, builtin_interfaces.msg.Time(sec=16, nanosec=627000000), 
-0.5245507873581393, 0.2353602380800821, -0.03648524817221793, builtin_interfaces.msg.Time(sec=16, nanosec=661000000), 
-0.5132374999193721, 0.22840669407527234, -0.035684660786498054, builtin_interfaces.msg.Time(sec=16, nanosec=695000000), 
-0.5022417329089983, 0.21871622008961764, -0.03490734712422756, builtin_interfaces.msg.Time(sec=16, nanosec=729000000), 
-0.4912948362665319, 0.2151241534592171, -0.03415354556615112, builtin_interfaces.msg.Time(sec=16, nanosec=763000000), 
-0.4806332090940102, 0.211848272695962, -0.033414514974109584, builtin_interfaces.msg.Time(sec=16, nanosec=797000000), 
-0.4703344128913401, 0.20549434681560616, -0.032691282387042664, builtin_interfaces.msg.Time(sec=16, nanosec=831000000), 
-0.4602437357011907, 0.1998967979688185, -0.031987457440894936, builtin_interfaces.msg.Time(sec=16, nanosec=865000000), 
-0.450343769434801, 0.195986700554305, -0.03130089680861952, builtin_interfaces.msg.Time(sec=16, nanosec=899000000), 
-0.44070984437786326, 0.19150873846399455, -0.030629406588980713, builtin_interfaces.msg.Time(sec=16, nanosec=933000000), 
-0.4313229744637417, 0.18647838206920878, -0.029973869334265206, builtin_interfaces.msg.Time(sec=16, nanosec=967000000), 
-0.4221373935683156, 0.18208285107399677, -0.02933452481462487, builtin_interfaces.msg.Time(sec=17, nanosec=1000000), 
-0.4131634139624798, 0.1780349068751165, -0.028710139058542843, builtin_interfaces.msg.Time(sec=17, nanosec=35000000), 
-0.40441325045901855, 0.17376610891467684, -0.028100185314435786, builtin_interfaces.msg.Time(sec=17, nanosec=69000000), 
-0.3958582679367937, 0.1696582943694717, -0.02750452513345462, builtin_interfaces.msg.Time(sec=17, nanosec=103000000), 
-0.38748218113749816, 0.16599087570118023, -0.026922417189421705, builtin_interfaces.msg.Time(sec=17, nanosec=137000000), 
-0.37928729837154035, 0.1624604859338562, -0.026352895608772197, builtin_interfaces.msg.Time(sec=17, nanosec=171000000), 
-0.3712763022228953, 0.15888116582943965, -0.025795704385923834, builtin_interfaces.msg.Time(sec=17, nanosec=205000000), 
-0.363438681877912, 0.15537859307478766, -0.02525071840270655, builtin_interfaces.msg.Time(sec=17, nanosec=239000000), 
-0.355760395653893, 0.15211673106865012, -0.024717441941106547, builtin_interfaces.msg.Time(sec=17, nanosec=273000000), 
-0.3482454089813689, 0.14895365584846174, -0.024195408360965273, builtin_interfaces.msg.Time(sec=17, nanosec=307000000), 
-0.34089263619465343, 0.14576234763960363, -0.023684364658811415, builtin_interfaces.msg.Time(sec=17, nanosec=341000000), 
-0.3336971567229378, 0.1426299241022656, -0.023184264576376432, builtin_interfaces.msg.Time(sec=17, nanosec=375000000), 
-0.32665447306057355, 0.139589834647842, -0.022694870028838406, builtin_interfaces.msg.Time(sec=17, nanosec=409000000), 
-0.31976002030099526, 0.1366385923719858, -0.022215864068582152, builtin_interfaces.msg.Time(sec=17, nanosec=443000000), 
-0.31300281054076734, 0.13383982862555102, -0.021746792221786288, builtin_interfaces.msg.Time(sec=17, nanosec=477000000), 
-0.30639039070286167, 0.13107479998170188, -0.02128747302167815, builtin_interfaces.msg.Time(sec=17, nanosec=511000000), 
-0.29992257380871956, 0.12823761502007625, -0.0208378242345199, builtin_interfaces.msg.Time(sec=17, nanosec=545000000), 
-0.29359838883923983, 0.12541178297668468, -0.020397990675951945, builtin_interfaces.msg.Time(sec=17, nanosec=579000000), 
-0.287418383012836, 0.12259010584199559, -0.0199679585016447, builtin_interfaces.msg.Time(sec=17, nanosec=613000000), 
-0.2813700341969969, 0.119885829825911, -0.019547434270445647, builtin_interfaces.msg.Time(sec=17, nanosec=647000000), 
