imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, odom_th, odom_vx, odom_vy, odom_w, stamp, 
0.008362829685211182, -0.004810690879821777, 0.004916258451489635, -1.1033783700798099e-08, 9.714739537807376e-05, -4.48869147529716e-05, -7.414739511073673e-06, 0.0, -2.0434201360330917e-05, 2.3893548132036813e-05, -0.000234860424247935, -6.658957776957651e-06, 7.783698875852861e-06, -7.630775508005172e-05, 1731624607634821033, 
0.021882057189941406, 0.005897343158721924, 0.014497678956631328, -1.0714078187487338e-07, 0.00047803032735921276, -5.4587924711271975e-05, -3.783420175414286e-05, 2.22133907535532e-11, -2.097350443364121e-05, 2.452430453558918e-05, -0.0002410596308273082, -5.3995771789370174e-06, 6.311595824283177e-06, -6.20357968728058e-05, 1731624607734815227, 
-0.011345863342285156, -0.02629530429840088, -2.377056629794734e-05, 2.987018844918707e-10, 0.0004942211197892597, -5.077114190743417e-05, -4.0822230809510566e-05, 1.1699067993234671e-11, -2.1139443560969085e-05, 2.4718385247979313e-05, -0.00024296717521647682, -4.155362853106406e-06, 4.857234170815488e-06, -4.778923175763339e-05, 1731624607774764060, 
-0.002633810043334961, -0.019955575466156006, -0.0014922239729819036, 2.7447511347426606e-08, 0.00017716954753205368, -6.056515659653492e-05, -9.539413258761438e-06, -4.248383601014574e-10, -2.184468030463904e-05, 2.5543229639879428e-05, -0.00025107382100995884, -5.924178691954085e-06, 6.924817509577977e-06, -6.824261072324589e-05, 1731624607894925675, 
-0.011433780193328857, 0.0005559325218200684, -0.0070590141379804515, 1.7347805176924249e-07, -0.00012372519132972592, -6.217694581424463e-05, 1.937009400199394e-05, -8.387350384432423e-10, -2.2010617612977512e-05, 2.5737312171258964e-05, -0.00025298125076848404, -5.509367229122958e-06, 6.43993950959014e-06, -6.34412353974767e-05, 1731624607925056547, 
-0.3477749228477478, 0.15348660945892334, -0.19780665106936557, 6.17157011144835e-06, -0.004919733342148859, -6.73865594356291e-05, 0.00048663074812796663, -7.142336929694857e-09, -2.259139364468865e-05, 2.641660103108734e-05, -0.0002596573130535342, -6.2099996549651335e-06, 7.258929342641366e-06, -7.147349970182404e-05, 1731624608034927947, 
-0.5686070919036865, 0.3674122095108032, -0.4048141651227685, -0.013111853847734906, -0.013664829703423587, 0.41392194805788834, 0.0017284368786768898, -3.374258223901282e-08, 0.0002364835236221552, 0.0006952846306376159, 0.045750088641235385, 0.00375945219640274, 0.011936080964007258, 0.7387043237686157, 1731624608179785533, 
0.017106354236602783, 0.19526594877243042, -0.16655879905337706, -0.020214315893860052, -0.01041129197489754, 1.0135537245672814, 0.002771668885202003, 7.614128858601549e-06, 0.0015851440839469433, 0.0012989836977794766, 0.16341226898284344, 0.013673509579494023, 0.008157421968857645, 1.483978271484375, 1731624608269723794, 
0.3964492082595825, -0.3714303970336914, 0.14378343223339618, 0.03915816066806362, 0.01846340653056042, 1.5715955587104942, 0.003946231915228825, 8.891249080977798e-05, 0.005403868854045868, 0.0014723276253789663, 0.3823036929822835, 0.040648141117211815, -0.006421983610196126, 2.009392261505127, 1731624608385601403, 
0.044823288917541504, -0.64436936378479, 0.08220382244778489, 0.03858083456150823, 0.03716950690416523, 1.772525022558907, 0.006262182665070903, 0.0006580713040995184, 0.009426888078451157, 0.0031263227574527264, 0.5777882155963837, 0.042614052537999915, -0.015570927696264253, 1.9301588535308838, 1731624608484811263, 
-0.1486663818359375, -0.046493709087371826, -0.03510644378639748, -0.025180068224743526, 0.04572357779238262, 1.8508382871098794, 0.010134365220737731, 0.002356463385677943, 0.012852526269853115, 0.0064226132817566395, 0.7509179986673897, 0.05100778371079017, 0.013539153594294985, 1.9122768640518188, 1731624608574879055, 
-0.20173054933547974, 0.2408132553100586, -0.09075843073493225, -0.09537356722808077, 0.05198252163027969, 1.8877431943788705, 0.01490715379685248, 0.005544226009543805, 0.01794278994202614, 0.011901522055268288, 0.9813787980232767, 0.06400277201963962, 0.0007678838692446938, 1.9166959524154663, 1731624608694900160, 
0.2936939597129822, 0.3458101153373718, 0.05795227703124186, 0.08992594919308217, 0.06542853240727814, 1.8797656842785937, 0.019244272038963502, 0.010071320983777358, 0.022586291655898094, 0.021218316629529, 1.244564547554948, 0.07606655400137502, 0.005177022031565657, 1.8735071420669556, 1731624608834824463, 
0.04362541437149048, -0.025653600692749023, 0.02661414200379906, 0.06620343336835155, 0.06863940290106182, 1.9084355651252995, 0.022523695324212636, 0.01523435511460644, 0.023236118257045746, 0.024389026686549187, 1.3410504696328323, 0.06430703134146874, 0.008020565043102576, 1.9309277534484863, 1731624608884768909, 
-0.00857234001159668, -0.4273325800895691, 0.005058674287238866, 0.02613217330755722, 0.07521681053469303, 1.9106692923663269, 0.025175125436500093, 0.021709487138888584, 0.024625297635793686, 0.030935373157262802, 1.5159816940924957, 0.07668245347911716, 0.0012131200172874942, 1.912421703338623, 1731624608974848301, 
-0.47556793689727783, 0.6289180517196655, -0.0004027090165540798, -0.2541815886370039, 0.08624716007485865, 1.8923647617317065, 0.02733939612874831, 0.030709838767077675, 0.024223823100328445, 0.04053962230682373, 1.7057817556916257, 0.10471595612658229, 0.0061940813795237255, 1.8780044317245483, 1731624609075149066, 
-0.2605551481246948, -0.28325366973876953, 0.0480377060580894, -0.25263396429673546, 0.08553461734612923, 1.895578448701841, 0.027628828976999743, 0.041210197081354566, 0.021511968225240707, 0.051849883049726486, 1.9126354416232572, 0.1049530805123877, 0.005021914007511324, 1.898099660873413, 1731624609184500402, 
-0.027352333068847656, -0.17779016494750977, 0.04717940831473795, -0.11866047306000602, 0.09662907542668117, 1.9079888431378291, 0.025853684098999487, 0.051894811876137106, 0.016921496018767357, 0.06247838959097862, 2.1055683262364244, 0.11987098779572482, 0.00025339375110523945, 1.9177250862121582, 1731624609284774642, 
-0.2649537920951843, 0.16712629795074463, 0.11009554329922859, -0.17174354037242737, 0.10473661420163208, 1.9184463594068444, 0.02188554282029675, 0.06272971665658933, 0.010670685209333897, 0.07174653559923172, 2.279400347554572, 0.12428193321932046, -0.0014703668501306305, 1.9266505241394043, 1731624609374800113, 
0.03655344247817993, 0.0986250638961792, 0.0473300728370641, -0.04975355567676441, 0.11499782915007284, 1.8998470481959826, 0.01541972827462271, 0.0731490983007571, -0.0007464797236025333, 0.08300306648015976, 2.5080143158546444, 0.13318874580393505, 0.0038157922067195505, 1.8852554559707642, 1731624609495055737, 
-0.308998703956604, 0.22718364000320435, 0.16479319964408062, -0.1182462173784055, 0.12153095791637815, 1.8739466610213031, 0.006656545104024846, 0.08279828586782662, -0.010273324325680733, 0.08905382454395294, 2.6583440283493593, 0.13769640446874915, 0.008203703661982663, 1.8536272048950195, 1731624609574817402, 
-0.3797371983528137, 0.2947920560836792, 0.2729827467972557, -0.12717102689002208, 0.1292642724534237, 1.8617864063249905, -0.005002394668301298, 0.0916771297068784, -0.025985516607761383, 0.09534580260515213, 2.865300673816017, 0.15531991220248917, 0.009630055061871838, 1.8522464036941528, 1731624609684797555, 
0.3890007734298706, 0.22024774551391602, -0.08368543307283072, 0.02110064745094792, 0.15300086558060635, 1.8973457604794797, -0.018981245397539922, 0.0983422476639238, -0.04166906327009201, 0.0987449586391449, 3.0391690605342196, 0.17858506989773792, -0.0025516174494986076, 1.9252429008483887, 1731624609775798121, 
0.3571380376815796, -0.22221088409423828, -0.23778653414952422, 0.014232395571385706, 0.17686897091383175, 1.8651876066072393, -0.03436189467447688, 0.10221151704624656, -0.06273084133863449, 0.09893801808357239, -3.0264639787001784, 0.18231148533946454, 0.0027106948201447156, 1.8399587869644165, 1731624609892394052, 
0.17694944143295288, -0.027283012866973877, -0.20216020294495987, -0.026369860155636173, 0.19817900915385475, 1.9030660949310454, -0.05196051920594632, 0.10327691079446993, -0.0801173597574234, 0.09524229168891907, -2.8503840102105316, 0.1976775386317244, 0.010858420381042209, 1.9327826499938965, 1731624609984574641, 
-0.5937396883964539, 0.4891917109489441, 0.230599587017782, 0.07640097858795243, 0.19777365757593157, 1.90201821127175, -0.07181482039212468, 0.10097489245736216, -0.09855568408966064, 0.08826816082000732, -2.658822623876708, 0.20052636534680124, 0.003411617969806019, 1.9011961221694946, 1731624610084856759, 
0.4359213709831238, 0.13487374782562256, -0.12005159694864295, -0.0672427002143505, 0.2019609586153137, 1.9076467146963427, -0.091185563234584, 0.09442373475999304, -0.114329993724823, 0.07884732633829117, -2.485254835486636, 0.20802760888862568, 0.00031197398708110983, 1.912062406539917, 1731624610175876251, 
0.12263143062591553, -0.039453208446502686, -0.0991740285238583, -0.08299620727938319, 0.21976224382407097, 1.85008213792918, -0.10912620512483606, 0.08443641177088439, -0.13096599280834198, 0.06364195793867111, -2.3009429140074293, 0.22326979969794605, 0.004868960286092924, 1.8049213886260986, 1731624610276382618, 
-0.49027925729751587, 0.21652668714523315, 0.138355324248715, 0.16802163366683578, 0.221027474135592, 1.851280306079209, -0.1265115767572488, 0.07023921652021158, -0.15086238086223602, 0.03366117551922798, -2.0080886529388957, 0.22666368845523635, 0.009142531284613646, 1.8522202968597412, 1731624610434840455, 
0.5853021740913391, -0.3404390811920166, -0.1119688543205946, -0.203483126543118, 0.22509648193808546, 1.8601768448193086, -0.14050898294242542, 0.05287366483622138, -0.15527887642383575, 0.0232420451939106, -1.9146768988694092, 0.2261485916527214, 0.008227613964517875, 1.8671563863754272, 1731624610484847851, 
-0.09400075674057007, 0.48581385612487793, -0.015551987507601244, -0.04695368057534989, 0.2383950247827691, 1.8242166330756013, -0.15143039955415094, 0.03323442343476814, -0.16164551675319672, 0.0023408071137964725, -1.7525615043303406, 0.23841208706880776, -0.00017540216992962564, 1.7960050106048584, 1731624610574830285, 
0.13227593898773193, 0.30316007137298584, -0.013274736798350941, -0.09479176074945031, 0.23981035144749469, 1.8024109200911376, -0.1587005990403691, 0.01100035107764502, -0.16474169492721558, -0.02544054016470909, -1.5367795874989125, 0.23508736138657108, 0.00449014555294859, 1.7853038311004639, 1731624610694576015, 
-0.314130961894989, -0.07195186614990234, -0.0047340601511246415, 0.13369173928326436, 0.2425863386518753, 1.7296352377244737, -0.1622616707489708, -0.01310174665455437, -0.16272450983524323, -0.04861697554588318, -1.3753282361920325, 0.24703324846147623, 0.007787414855778709, 1.6725410223007202, 1731624610789596645, 
