x, y, theta, stamp, 
-1.9999420562658368, -0.500000993877432, 8.187933491776907e-07, 9807000000, 
-1.9999420559202725, -0.5000009938716687, 8.196450365957864e-07, 9841000000, 
-1.998787329848899, -0.5000009981289477, 1.9042601638268227e-06, 9875000000, 
-1.9964772564067657, -0.5000010044397544, 2.4833234626109007e-06, 9909000000, 
-1.993349752052198, -0.5000034006948383, -0.0023017294423261585, 9943000000, 
-1.989636807851077, -0.5000270007327143, -0.012702971582908338, 9977000000, 
-1.9853293742143627, -0.5001192856770561, -0.03245841153056146, 10011000000, 
-1.9804193055020505, -0.5003375535421912, -0.05826151866924108, 10045000000, 
-1.9749086902953468, -0.5007408095100967, -0.09005387044115383, 10079000000, 
-1.9688024988875716, -0.5014064680473794, -0.1295638654374059, 10113000000, 
-1.962111264270986, -0.5024297544166556, -0.17619285965635093, 10147000000, 
-1.9548581314680444, -0.5039109300233451, -0.22892621440817454, 10181000000, 
-1.9475237754138461, -0.5058337278326882, -0.28502824226183293, 10215000000, 
-1.9403109341479683, -0.5081551843455624, -0.33806404988397204, 10249000000, 
-1.9332316108709946, -0.5108397771935389, -0.3877960234981861, 10283000000, 
-1.9262938148579458, -0.513871766181337, -0.437396162900843, 10317000000, 
-1.9195149798290507, -0.5172425963761724, -0.486259078028629, 10351000000, 
-1.9129080683139188, -0.5209312526514521, -0.5328905988257451, 10385000000, 
-1.9064788986528924, -0.5249169255497893, -0.5780647527661847, 10419000000, 
-1.90023543711803, -0.5291856152526594, -0.622478950560873, 10453000000, 
-1.8941864934460202, -0.5337223104458838, -0.6656116534704773, 10487000000, 
-1.88833715865059, -0.5385070151578234, -0.7066365867560392, 10521000000, 
-1.8826848237646123, -0.5435211418920335, -0.7460871348672637, 10555000000, 
-1.8772358955039168, -0.5487555651960182, -0.7861132670335864, 10589000000, 
-1.871999980782475, -0.5542007922030542, -0.8250610931844076, 10623000000, 
-1.8669759678732498, -0.5598384809616717, -0.8620024066006947, 10657000000, 
-1.8621614657397123, -0.56565412313692, -0.8981044676072422, 10691000000, 
-1.8575591819253983, -0.5716376695368007, -0.9336453601171877, 10725000000, 
-1.8531699718930927, -0.5777770291695781, -0.967978393232428, 10759000000, 
-1.84899115539187, -0.5840593555665539, -1.0011569143351613, 10793000000, 
-1.8450208823778715, -0.5904738611507304, -1.0335685170401439, 10827000000, 
-1.8412587574208572, -0.5970110966403802, -1.065140284800767, 10861000000, 
-1.8377022689929319, -0.6036607814659377, -1.0957259768328587, 10895000000, 
-1.8343484255623073, -0.6104133720528698, -1.125444873880283, 10929000000, 
-1.831194670772291, -0.6172602391669155, -1.1543918197397716, 10963000000, 
-1.8282376560209253, -0.6241931894735818, -1.182544290483317, 10997000000, 
-1.8254746745955457, -0.6312044366462161, -1.2098966264937427, 11031000000, 
-1.8229022906020593, -0.6382859281189629, -1.2364623761403524, 11065000000, 
-1.8205168639412515, -0.6454305713100638, -1.2622761971582972, 11099000000, 
-1.8183146870351063, -0.6526311772918094, -1.287375288636968, 11133000000, 
-1.816294415056213, -0.6598549276850165, -1.3118234585097968, 11167000000, 
-1.814465420661376, -0.6670659804922644, -1.3365134247061128, 11201000000, 
-1.8128236459100924, -0.6742763542745975, -1.3614095847915215, 11235000000, 
-1.8113627662061527, -0.681523874795049, -1.3855782549406284, 11269000000, 
-1.8100745965535658, -0.6888224422818758, -1.4086798367414786, 11303000000, 
-1.808955862890486, -0.6961654760417068, -1.430868936806392, 11337000000, 
-1.8079980655059362, -0.7035404959322236, -1.452291294078157, 11371000000, 
-1.8071941896557655, -0.7109352440714933, -1.4730937124040087, 11405000000, 
-1.8065393886867984, -0.7183416444653141, -1.4933488389944731, 11439000000, 
-1.8060314255495051, -0.7257488774259113, -1.513156225582396, 11473000000, 
-1.8056763677456587, -0.7331470684970536, -1.5326388739383545, 11507000000, 
-1.8054614014660504, -0.7405610286427418, -1.551543494949284, 11541000000, 
