e, e_dot, e_int, stamp, 
1.2490292462099757, -0.009053826607280052, 0.0849758530838862, builtin_interfaces.msg.Time(sec=16, nanosec=151000000), 
1.2471825761328557, -0.027158196182179326, 0.08491306278168878, builtin_interfaces.msg.Time(sec=16, nanosec=185000000), 
1.2444154217460677, -0.04523357317556873, 0.08478755086601505, builtin_interfaces.msg.Time(sec=16, nanosec=219000000), 
1.2407310841805521, -0.06324992110101514, 0.08459945919334812, builtin_interfaces.msg.Time(sec=16, nanosec=253000000), 
1.2361343445668431, -0.08118703116886813, 0.08434903261118518, builtin_interfaces.msg.Time(sec=16, nanosec=287000000), 
1.2309670926334804, -0.09572540732423283, 0.08404420381796651, builtin_interfaces.msg.Time(sec=16, nanosec=321000000), 
1.2253214274871342, -0.10600899097753806, 0.08369491826624904, builtin_interfaces.msg.Time(sec=16, nanosec=355000000), 
1.2192765418433293, -0.11461324304069627, 0.08331280807118274, builtin_interfaces.msg.Time(sec=16, nanosec=389000000), 
1.2131569994795484, -0.11925909811358708, 0.08290911262636029, builtin_interfaces.msg.Time(sec=16, nanosec=423000000), 
1.2069842372420543, -0.12051279020857902, 0.0824934696474718, builtin_interfaces.msg.Time(sec=16, nanosec=457000000), 
1.2007603539102083, -0.12153574087588292, 0.08207376938765439, builtin_interfaces.msg.Time(sec=16, nanosec=491000000), 
1.1944784884582795, -0.12260538023308577, 0.08165038980450562, builtin_interfaces.msg.Time(sec=16, nanosec=525000000), 
1.188143305576796, -0.12369655228835551, 0.08122332868675977, builtin_interfaces.msg.Time(sec=16, nanosec=559000000), 
1.1817612689266503, -0.12467862285910968, 0.08079268276046579, builtin_interfaces.msg.Time(sec=16, nanosec=593000000), 
1.1753323047666862, -0.12559804715794004, 0.08035870259678968, builtin_interfaces.msg.Time(sec=16, nanosec=627000000), 
1.1688568133960542, -0.12651426990780548, 0.07992154210735952, builtin_interfaces.msg.Time(sec=16, nanosec=661000000), 
1.162338320781391, -0.12739199985583385, 0.07948128861606697, builtin_interfaces.msg.Time(sec=16, nanosec=695000000), 
1.1557791871529481, -0.12821202199123571, 0.07903808461682225, builtin_interfaces.msg.Time(sec=16, nanosec=729000000), 
1.14918028056822, -0.12900039424677467, 0.07859208320605801, builtin_interfaces.msg.Time(sec=16, nanosec=763000000), 
1.142543308950354, -0.1297635117901381, 0.07814339627122117, builtin_interfaces.msg.Time(sec=16, nanosec=797000000), 
1.1358704052568989, -0.1304889736404041, 0.07769213054824406, builtin_interfaces.msg.Time(sec=16, nanosec=831000000), 
1.1291630291860721, -0.13117921337531283, 0.07723840618358205, builtin_interfaces.msg.Time(sec=16, nanosec=865000000), 
1.1224224537879992, -0.13184266145980053, 0.07678233346656867, builtin_interfaces.msg.Time(sec=16, nanosec=899000000), 
1.1156502921257088, -0.132477814317288, 0.07632401090226168, builtin_interfaces.msg.Time(sec=16, nanosec=933000000), 
1.1088478453593653, -0.1330843963591558, 0.07586353340218967, builtin_interfaces.msg.Time(sec=16, nanosec=967000000), 
1.1020164252425346, -0.13366536159974643, 0.07540099675515914, builtin_interfaces.msg.Time(sec=17, nanosec=1000000), 
1.0951572393690605, -0.13422162735592943, 0.07493648755934178, builtin_interfaces.msg.Time(sec=17, nanosec=35000000), 
1.0882715164634562, -0.13475400763802364, 0.0744700907710345, builtin_interfaces.msg.Time(sec=17, nanosec=69000000), 
1.081390690211593, -0.13496616821046514, 0.07400257411033316, builtin_interfaces.msg.Time(sec=17, nanosec=103000000), 
1.0745288462444422, -0.13473206097072535, 0.07353499719950848, builtin_interfaces.msg.Time(sec=17, nanosec=137000000), 
1.067687246115455, -0.13434749113860886, 0.07306842040495377, builtin_interfaces.msg.Time(sec=17, nanosec=171000000), 
1.0608668849058784, -0.13394079743689988, 0.07260321415135758, builtin_interfaces.msg.Time(sec=17, nanosec=205000000), 
1.054069891157127, -0.13350347998360837, 0.07213947783604512, builtin_interfaces.msg.Time(sec=17, nanosec=239000000), 
1.0472975270813565, -0.13303291984825447, 0.0716773108712722, builtin_interfaces.msg.Time(sec=17, nanosec=273000000), 
1.0405508467381699, -0.13253965116624525, 0.07121681400613748, builtin_interfaces.msg.Time(sec=17, nanosec=307000000), 
1.0338307028660834, -0.13202768838503057, 0.07075805907154051, builtin_interfaces.msg.Time(sec=17, nanosec=341000000), 
1.0271378926688406, -0.1314995496993068, 0.07030110735819015, builtin_interfaces.msg.Time(sec=17, nanosec=375000000), 
1.0204731594472292, -0.13095630802798233, 0.0698460131129288, builtin_interfaces.msg.Time(sec=17, nanosec=409000000), 
1.0138372947038143, -0.13039801926496322, 0.06939282919458403, builtin_interfaces.msg.Time(sec=17, nanosec=443000000), 
1.0072305956765115, -0.12982905657566313, 0.06894159712942459, builtin_interfaces.msg.Time(sec=17, nanosec=477000000), 
1.0006527472965459, -0.12926026869871066, 0.0684923344540091, builtin_interfaces.msg.Time(sec=17, nanosec=511000000), 
0.9941047407894567, -0.12868485183387124, 0.06804506323195032, builtin_interfaces.msg.Time(sec=17, nanosec=545000000), 
0.9875861656661088, -0.1281037414748731, 0.06759978948504786, builtin_interfaces.msg.Time(sec=17, nanosec=579000000), 
0.981097713614581, -0.127519874263487, 0.06715654205492333, builtin_interfaces.msg.Time(sec=17, nanosec=613000000), 
0.9746399963359489, -0.12692322872705789, 0.06671534118064382, builtin_interfaces.msg.Time(sec=17, nanosec=647000000), 
0.9682134543462665, -0.12631626733641657, 0.06627622639072739, builtin_interfaces.msg.Time(sec=17, nanosec=681000000), 
