e, e_dot, e_int, stamp, 
0.7706858815171637, 3.764504741329258e-13, 0.12376441565608838, 1729809164739270812, 
0.7706858815171961, 2.352278302505097e-13, 0.12278933385988135, 1729809164788992677, 
0.770685881517276, 7.411603928619622e-13, 0.07752211290173175, 1729809164839859281, 
0.7706858815172499, 3.387596225467185e-13, 0.0754182976651124, 1729809164886851350, 
0.770689460783009, 2.3840294774232667e-05, 0.07478524797547972, 1729809164936896393, 
0.770649275398413, -0.0002952570771109755, 0.0709199887413577, 1729809164978874577, 
0.7668235305704666, -0.025401246087810064, 0.07141534685132196, 1729809165029717441, 
0.7641217108162424, -0.03842865098690946, 0.09077620041807795, 1729809165097196288, 
0.7620727487033958, -0.02970424821422041, 0.0834903091118048, 1729809165138949435, 
0.7606460893365395, -0.02586081003983147, 0.06997368471852636, 1729809165188991518, 
0.7606565993004129, -0.009467372770432435, 0.1127973613568479, 1729809165287147615, 
0.7632409432038255, 0.009403918516069285, 0.14477176678077325, 1729809165379101829, 
0.7085641883366303, -0.16738552892992561, 0.14515992439572678, 1729809165482214687, 
0.7004109938326104, -0.20224406489049365, 0.15186041421892438, 1729809165588832913, 
0.695128880960999, -0.04327726424062137, 0.14420599234698758, 1729809165687821427, 
0.689575702832922, -0.03833156364234224, 0.13142346980213546, 1729809165777920949, 
0.6879691609620796, -0.025907091931674908, 0.1312434750357842, 1729809165877783994, 
0.5747881583465583, -0.3450067392185792, 0.13727571546762854, 1729809165988861983, 
0.5586260852618758, -0.3940823439541044, 0.12752173663107644, 1729809166087825004, 
0.5534947446881827, -0.07341898411954141, 0.10631864737653289, 1729809166177939132, 
0.555333582014039, -0.01389512214864289, 0.11707518189046975, 1729809166298460775, 
0.5519115589764434, -0.00752897717453777, 0.11677519908357646, 1729809166388884627, 
0.40387261780162265, -0.5113498470341421, 0.09538517108332807, 1729809166487827561, 
0.38550589218755726, -0.5666969148435911, 0.0845131152535631, 1729809166577911111, 
0.3882150541793732, -0.06045076373233326, 0.0825546217578459, 1729809166698141096, 
0.3965199695102988, 0.03836462005525607, 0.08189891222567619, 1729809166787865090, 
0.24962915605481362, -0.45895600436053424, 0.06540235300395396, 1729809166887829663, 
0.23131176268695075, -0.5575762413910087, 0.055591498891800005, 1729809166977929968, 
0.20613897407267356, -0.1374183604312064, 0.04822617661117266, 1729809167098399833, 
0.21754657546757217, -0.02761399170942, 0.04605181215366487, 1729809167188855164, 
0.09854493414037635, -0.35873846883221727, 0.03297560172259478, 1729809167287831144, 
0.08437887844476077, -0.45309123731727285, 0.025261289095183794, 1729809167378092295, 
0.06014696260679997, -0.1333411370623005, 0.015390341313049328, 1729809167477780034, 
0.0636337303151917, -0.07056862474548072, 0.014628709603162917, 1729809167588921557, 
-0.04238182094562437, -0.34676738968800325, 0.005699729856945813, 1729809167687846699, 
-0.049364464057568336, -0.38305889985272007, -0.0017712895699137853, 1729809167777942753, 
-0.0734019311195594, -0.09209181278295397, -0.01161680902651206, 1729809167898871849, 
-0.07201011220847187, -0.061103472887283704, -0.013695373932566687, 1729809167988882575, 
-0.061486345368691464, 0.04059086362543273, -0.013034753523752794, 1729809168087874097, 
-0.17694081218249336, -0.3918371571468781, -0.019563980979441422, 1729809168177944742, 
-0.18929670359996076, -0.46835037252963385, -0.027137320189523136, 1729809168278211761, 
-0.1872855429830096, -0.035022798070353196, -0.03893200153248568, 1729809168388949510, 
-0.18758462577362933, 0.005045668674381603, -0.03942125874706444, 1729809168487837285, 
-0.27825358968065594, -0.33641535493383384, -0.041145952292529916, 1729809168577945631, 
-0.29419876013738344, -0.38816835380383097, -0.04835011068637082, 1729809168678683700, 
-0.32046014408449175, -0.13292988024590602, -0.06248310185691903, 1729809168787875839, 
-0.3679518532878187, -0.23852913506418102, -0.06850683264960065, 1729809168887841290, 
-0.3594650891819271, -0.1269315635988199, -0.06635709593993684, 1729809168977851639, 
-0.3745750826551531, -0.018693345282456062, -0.06997578281057487, 1729809169078339355, 
-0.3998518180938368, -0.12697237466861833, -0.07941935558810358, 1729809169187975768, 
-0.4145225752225768, -0.12581632770714327, -0.08303087558078145, 1729809169287845841, 
-0.41084718751908333, -0.035354943858283694, -0.07754794093927005, 1729809169377854747, 
-0.4131362730387428, 0.006002968073809828, -0.07856205552568145, 1729809169478144604, 
-0.4172822288561795, -0.02020393902389565, -0.08689216110526427, 1729809169587863358, 
-0.40410329596041117, 0.03134690940012378, -0.08628876683504236, 1729809169687834138, 
-0.4086309212520861, 0.02717779630850763, -0.0778982232066661, 1729809169777856484, 
-0.40972643225300287, -0.02040629662037324, -0.07754605252512482, 1729809169878137325, 
-0.417430785790679, -0.027041659067351, -0.08651695546218821, 1729809169987885095, 
-0.38515609868850664, 0.08416805406027335, -0.0847652845331211, 1729809170087898160, 
-0.38802503323942594, 0.09705460786714322, -0.07579129480933829, 1729809170178857385, 
-0.39274686406015635, -0.026346911310214948, -0.07398454705856349, 1729809170278264668, 
-0.3553496762773897, 0.09788212471985336, -0.07916095550726913, 1729809170387886834, 
-0.3563192963482445, 0.11048224433696953, -0.07715753264836078, 1729809170487852932, 
-0.35549464116882296, -0.00021312223286250147, -0.06793791653851902, 1729809170578873246, 
-0.36080071064086755, -0.014728462696278812, -0.068172960425046, 1729809170678526145, 
-0.30908455604699286, 0.13969543930576764, -0.0714840348890046, 1729809170788017294, 
-0.31324131533564653, 0.1435656371244181, -0.06859911490970247, 1729809170887855593, 
-0.31533548116757915, -0.021546084990939334, -0.059658945785190404, 1729809170978893069, 
-0.32535141053880806, -0.04124601752916462, -0.06056371009079205, 1729809171078321845, 
-0.26371836988215025, 0.15382851165266367, -0.06302292173134558, 1729809171187946215, 
-0.2612358740707423, 0.19568911513963672, -0.05938967609922261, 1729809171287857119, 
-0.2588372737118001, 0.016971286626449922, -0.05014397075696767, 1729809171379874692, 
-0.19993612298208732, 0.21709819555663892, -0.044694593242943066, 1729809171474082193, 
-0.20168397401602045, 0.20329374822560134, -0.04581359595132279, 1729809171587974100, 
-0.19433924099052557, 0.01939470834873444, -0.0424677688157695, 1729809171687860715, 
-0.18511172826678196, 0.05621910276661502, -0.03813970307580974, 1729809171784863154, 
-0.10523214763806717, 0.32837349496244683, -0.03017239548698125, 1729809171874616109, 
-0.10163547908405546, 0.3072498559463687, -0.02652570849291312, 1729809171987876717, 
-0.09118894869476407, 0.045411989086775795, -0.021186484815635887, 1729809172087862384, 
-0.09125717050913619, 0.03457686938378536, -0.018085393802429614, 1729809172178864735, 
-0.09604044820854994, -0.01632649625896854, -0.017654110478755574, 1729809172278041508, 
-0.0420778931322843, 0.1419241405746126, -0.016287288989979987, 1729809172391886023, 
-0.03705345257311624, 0.17620937249416557, -0.01201816553301424, 1729809172483865150, 
-0.047667152385766506, -0.017879361996005275, -0.00803118508144001, 1729809172581900539, 
-0.05546914296523173, -0.058979992081087174, -0.009889973109559984, 1729809172695506299, 
-0.055583746838972645, -0.023288361549081437, -0.011109697971777235, 1729809172791887214, 
-0.019138828504205077, 0.13167786645794352, -0.008174382829577484, 1729809172883868115, 
