x, y, theta, stamp, 
-7.105427357601002e-15, -3.552713678800501e-15, -1.1002253878809594e-11, 1729809164578680851, 
-7.105427357601002e-15, -3.552713678800501e-15, -1.105703838160219e-11, 1729809164629667929, 
-7.105427357601002e-15, -3.552713678800501e-15, -1.1062875425527942e-11, 1729809164739270812, 
-7.105427357601002e-15, -3.552713678800501e-15, -1.1095376457498923e-11, 1729809164788992677, 
-7.105427357601002e-15, -3.552713678800501e-15, -1.1175292420202872e-11, 1729809164839859281, 
-7.105427357601002e-15, -3.552713678800501e-15, -1.1149178803981594e-11, 1729809164886851350, 
-4.522406413798308e-07, 5.318835292200674e-07, -5.245238071464342e-06, 1729809164936896393, 
4.625348537956597e-06, -5.439581400423776e-06, 5.364435845522792e-05, 1729809164978874577, 
0.0020081375259906054, -5.683822382707149e-05, 0.007316876699287563, 1729809165029717441, 
0.008497155271470547, 0.0006640797364525497, 0.019787247813807748, 1729809165097196288, 
0.014002338983118534, 0.0012767206644639373, 0.03031396753917189, 1729809165138949435, 
0.021810539066791534, 0.002155630849301815, 0.04405913175767016, 1729809165188991518, 
0.04319143295288086, 0.004187398590147495, 0.0803980439090774, 1729809165287147615, 
0.07046791911125183, 0.00719465222209692, 0.1280087190568924, 1729809165379101829, 
0.1016923114657402, 0.01226014643907547, 0.18057080111874665, 1729809165482214687, 
0.13344234228134155, 0.019141070544719696, 0.23403891338751376, 1729809165588832913, 
0.16173002123832703, 0.026768125593662262, 0.28210074221279197, 1729809165687821427, 
0.18768979609012604, 0.0351773276925087, 0.32920135060727007, 1729809165777920949, 
0.21623608469963074, 0.04578316956758499, 0.3799847394814063, 1729809165877783994, 
0.24629588425159454, 0.058973781764507294, 0.43429286445402326, 1729809165988861983, 
0.2736077308654785, 0.07264319062232971, 0.4856122653998334, 1729809166087825004, 
0.2973487377166748, 0.08610735833644867, 0.5229609532796912, 1729809166177939132, 
0.3278496563434601, 0.10470599681138992, 0.5665764378111724, 1729809166298460775, 
0.3504379689693451, 0.11988016217947006, 0.6068647266826259, 1729809166388884627, 
0.375238299369812, 0.1380022168159485, 0.6539148514714829, 1729809166487827561, 
0.3962065279483795, 0.15504013001918793, 0.6951669177071612, 1729809166577911111, 
0.4236556589603424, 0.17892715334892273, 0.724966335184039, 1729809166698141096, 
0.44369855523109436, 0.19717614352703094, 0.7431801918628973, 1729809166787865090, 
0.46577712893486023, 0.2183370143175125, 0.7758386787315941, 1729809166887829663, 
0.48480015993118286, 0.23764894902706146, 0.8088471164927942, 1729809166977929968, 
0.509046733379364, 0.2648642659187317, 0.8523475076774059, 1729809167098399833, 
0.5272813439369202, 0.2858986556529999, 0.8563486796524699, 1729809167188855164, 
0.5470947623252869, 0.3083410859107971, 0.8541216725298927, 1729809167287831144, 
0.5649603009223938, 0.3293888568878174, 0.8740648863741186, 1729809167378092295, 
0.5834684371948242, 0.35264918208122253, 0.9029779155812548, 1729809167477780034, 
0.6044110655784607, 0.37916067242622375, 0.9054431001990095, 1729809167588921557, 
0.6233751177787781, 0.4018520414829254, 0.8916834058893377, 1729809167687846699, 
0.6405802369117737, 0.4227280914783478, 0.8964431657174814, 1729809167777942753, 
0.6626200079917908, 0.4512556791305542, 0.913806234605678, 1729809167898871849, 
0.6797738075256348, 0.4730972647666931, 0.9069471428141224, 1729809167988882575, 
0.6985880732536316, 0.49631842970848083, 0.8909232454900193, 1729809168087874097, 
0.7158173322677612, 0.5168684124946594, 0.8878880391478594, 1729809168177944742, 
0.7353529334068298, 0.5400773882865906, 0.8862239383693507, 1729809168278211761, 
0.7569469809532166, 0.5656132102012634, 0.8658889237195292, 1729809168388949510, 
0.7766044735908508, 0.5879907608032227, 0.8482292819153824, 1729809168487837285, 
0.7948915958404541, 0.6078034043312073, 0.8415617701733704, 1729809168577945631, 
0.8151546716690063, 0.630012571811676, 0.8335339729481341, 1729809168678683700, 
0.8381635546684265, 0.6546496152877808, 0.828683561583048, 1729809168787875839, 
0.8592453598976135, 0.6763728260993958, 0.800494621542248, 1729809168887841290, 
0.878391444683075, 0.6948016881942749, 0.7671539607716468, 1729809168977851639, 
0.9006040692329407, 0.7149912714958191, 0.7520555074281434, 1729809169078339355, 
0.9254435300827026, 0.7371100783348083, 0.7381323971238637, 1729809169187975768, 
0.9485147595405579, 0.7572060227394104, 0.7042777390581371, 1729809169287845841, 
0.9695035219192505, 0.7741265296936035, 0.6707180102028731, 1729809169377854747, 
0.9931814670562744, 0.7916666865348816, 0.6384772537085951, 1729809169478144604, 
1.020585298538208, 0.8104024529457092, 0.5998880931250468, 1729809169587863358, 
1.0456420183181763, 0.8263881206512451, 0.570767827001431, 1729809169687834138, 
1.0691299438476562, 0.8405214548110962, 0.5452263637269258, 1729809169777856484, 
1.095190167427063, 0.8551333546638489, 0.510647654620046, 1729809169878137325, 
1.1242682933807373, 0.8700957298278809, 0.475047182559391, 1729809169987885095, 
1.1516883373260498, 0.8832206726074219, 0.44788904946485436, 1729809170087898160, 
1.1763074398040771, 0.8941403031349182, 0.4218704565476599, 1729809170178857385, 
1.204325556755066, 0.9055001735687256, 0.39139343858315856, 1729809170278264668, 
1.2350881099700928, 0.9171486496925354, 0.36371136378583985, 1729809170387886834, 
1.2634022235870361, 0.9270171523094177, 0.3360689533260634, 1729809170487852932, 
1.288947343826294, 0.9349637031555176, 0.30806655700477187, 1729809170578873246, 
1.3182097673416138, 0.943215548992157, 0.2793054304113859, 1729809170678526145, 
1.350393295288086, 0.951179563999176, 0.25541987359002577, 1729809170788017294, 
1.3798500299453735, 0.9581209421157837, 0.23307321068424322, 1729809170887855593, 
1.4061518907546997, 0.9635946154594421, 0.20957262072962263, 1729809170978893069, 
1.4355123043060303, 0.968998908996582, 0.18784801228720427, 1729809171078321845, 
1.4674830436706543, 0.9741051197052002, 0.16746490255842464, 1729809171187946215, 
1.4959205389022827, 0.9780566692352295, 0.14321050519900125, 1729809171287857119, 
1.5211883783340454, 0.9808778762817383, 0.12028925925487387, 1729809171379874692, 
1.5472285747528076, 0.9831543564796448, 0.1048240749655933, 1729809171474082193, 
1.5774117708206177, 0.9856961965560913, 0.08994576998196764, 1729809171587974100, 
1.60319185256958, 0.9875687956809998, 0.0667750931140206, 1729809171687860715, 
1.6267136335372925, 0.9884734153747559, 0.043456714728082206, 1729809171784863154, 
1.6488111019134521, 0.988864004611969, 0.03455057129684491, 1729809171874616109, 
1.6758334636688232, 0.9893730878829956, 0.023522969411491963, 1729809171987876717, 
1.6983919143676758, 0.9895200729370117, 0.006776655189474797, 1729809172087862384, 
1.7179460525512695, 0.9895021319389343, 0.0010865573641112064, 1729809172178864735, 
1.7393635511398315, 0.989595890045166, -0.001850995354308535, 1729809172278041508, 
1.763444423675537, 0.9892601370811462, -0.015679264023860686, 1729809172391886023, 
