imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.0813352209685148, -0.01188522062788967, -5.3908850742326124e-08, -0.0009001989327204207, -0.054193398002826645, -2.695442537116306e-09, 9.024792854967143e-05, 0.0, builtin_interfaces.msg.Time(sec=92, nanosec=167000000), 
-0.08385351513400893, 0.02043085666686623, -6.235576652725589e-08, -0.002685017041397953, -0.07265109346841848, -8.593142558444705e-09, 0.000268984744861939, -2.0816445649083688e-13, builtin_interfaces.msg.Time(sec=92, nanosec=201000000), 
-0.07592650526908015, -0.004506066964076908, -7.446385864923818e-08, -0.0038136722742606903, -0.07457191078498883, -1.557383257252305e-08, 0.00038200601935307215, -2.0200088036554607e-13, builtin_interfaces.msg.Time(sec=92, nanosec=269000000), 
-0.08173453217086118, 0.02797789443396198, 0.3125328961150145, -0.005346387446385709, -0.07889514083870028, 0.019303483986123728, 0.0003770932447944718, 1.2680486056375037e-12, builtin_interfaces.msg.Time(sec=92, nanosec=337000000), 
-0.16467924727177388, 0.16107679541423411, 0.6587532534206061, 0.005404049824812594, -0.1315531167573421, 0.0719524136558359, 0.0011348979343307895, 4.4817570760031016e-06, builtin_interfaces.msg.Time(sec=92, nanosec=439000000), 
-0.04077509635512426, 0.01644192504540204, 0.8694320613098913, 0.015164162806788683, -0.07510668552853089, 0.1508482318459897, 0.002927325892488942, 0.00010746029367691645, builtin_interfaces.msg.Time(sec=92, nanosec=541000000), 
-0.051781698522214814, 0.029794690540223462, 0.9447036652058245, 0.02669942577993329, -0.060379550945644664, 0.24244346988989143, 0.00554988766752615, 0.00046315426898594215, builtin_interfaces.msg.Time(sec=92, nanosec=711000000), 
-0.18446988927981092, 0.09469523962900243, 0.9740507607634579, 0.04259236562031373, -0.13663462386574912, 0.3387275861484441, 0.009670290275732425, 0.0013938816899508582, builtin_interfaces.msg.Time(sec=92, nanosec=813000000), 
-0.16570059525113745, 0.033837832436223535, 0.9923945064280397, 0.046414850463330826, -0.1542862192534179, 0.43726636800803026, 0.014764584415578527, 0.0031204047774708622, builtin_interfaces.msg.Time(sec=92, nanosec=881000000), 
-0.02165518059052011, 0.09674074335645802, 0.9970169716073786, 0.06105429185872423, -0.07187368668582916, 0.5367915027083733, 0.020468823233005307, 0.005696550730299634, builtin_interfaces.msg.Time(sec=92, nanosec=983000000), 
